question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978233.7,Drug Use,drugsupp_ypservice,from Drug & Alcohol Services for young people,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to Drug & Alcohol Services for young people for information or support about drugs and alcohol,from Drug & Alcohol Services for young people
Q8978233.8,Drug Use,drugsupp_other,from other sources,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to other sources for information or support about drugs and alcohol,from other sources
Q8978234,Sexual Health,sh_pressure,There is pressure on young people to have sex,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether there is pressure on young people to have sex,whether there is pressure on young people to have sex
Q8978234.2,Sexual Health,sh_wait,It is fine to wait to have sex,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether it is fine to wait to have sex,whether it is fine to wait to have sex
Q8978234.3,Sexual Health,sh_serious,Being in a serious/long-term relationship before having sex is important,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether being in a serious/long-term relationship before having sex is important,whether being in a serious relationship before sex is important
Q8978234.4,Sexual Health,sh_condoms,Using condoms is necessary to prevent sexually transmitted infections and unplanned pregnancies,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether using condoms is necessary to prevent sexually transmitted infections and unplanned pregnancies,whether using condoms is necessary to prevent STI/pregnancies
Q8978234.5,Sexual Health,sh_pregnancy,Getting pregnant or getting someone else pregnant now would negatively affect my future plans,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether getting pregnant or getting someone else pregnant now would negatively affect their future plans,whether being involved in a pregnancy would damage my plans
Q8978234.6,Sexual Health,sh_16,Most 16 year olds have not had sex,"The proportion of %s students who responded <b>'%s'</b> (%s) when asked <b>'%s'<b>, was %s %s students (%s).",whether most 16 year olds have not had sex,whether most 16 year olds have not had sex
Q8978235,Sexual Health,shinfo_parents,parents,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from parents,parents
Q8978235.10,Sexual Health,shinfo_healthsite,healthcare websites,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from healthcare websites,healthcare websites
Q8978235.11,Sexual Health,shinfo_helpline,telephone helplines,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from telephone helplines,telephone helplines
Q8978235.12,Sexual Health,shinfo_yw,Youth Workers,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from Youth Workers,Youth Workers
Q8978235.13,Sexual Health,shinfo_other,other,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from other sources,other
Q8978235.2,Sexual Health,shinfo_school,school,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from school,school
Q8978235.3,Sexual Health,shinfo_friends,friends ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from friends ,friends 
Q8978235.4,Sexual Health,shinfo_relations,siblings or relatives,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from siblings or relatives,siblings or relatives
Q8978235.5,Sexual Health,shinfo_clinic,sexual health clinics,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from sexual health clinics,sexual health clinics
Q8978235.6,Sexual Health,shinfo_media,media,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from media,media
Q8978235.7,Sexual Health,shinfo_poster,"posters, leaflets, reference books",The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,"Gets information about sex/relationships from posters, leaflets, reference books","posters, leaflets, reference books"
Q8978235.8,Sexual Health,shinfo_porn,pornography,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they currently get information about sex from <b>%s</b> was %s %s students (%s). ,Gets information about sex/relationships from pornography,pornography
