year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2023,All Responses,All Schools,cope_counselling,by having counselling,Yes,680,16290,4.2%,3.7%,4.7%,0.5%,0.5%,51,Q8978243.6,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by having counselling,by having counselling,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by having counselling,NA,1,NA
2023,All Responses,All Schools,cope_creative,by doing creative activities,No,12650,16290,77.7%,76.6%,78.6%,1.0%,1.0%,52.8,Q8978243.8,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing creative activities,by doing creative activities,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,0,Multiple Select
2023,All Responses,All Schools,cope_creative,by doing creative activities,No,12650,16290,77.7%,76.6%,78.6%,1.0%,1.0%,51,Q8978243.8,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing creative activities,by doing creative activities,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,1,NA
2023,All Responses,All Schools,cope_creative,by doing creative activities,Yes,3640,16290,22.3%,21.4%,23.4%,1.0%,1.0%,52.8,Q8978243.8,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing creative activities,by doing creative activities,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by doing creative activities,NA,0,Multiple Select
2023,All Responses,All Schools,cope_creative,by doing creative activities,Yes,3640,16290,22.3%,21.4%,23.4%,1.0%,1.0%,51,Q8978243.8,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing creative activities,by doing creative activities,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by doing creative activities,NA,1,NA
2023,All Responses,All Schools,cope_drugs,by doing drugs,No,16045,16290,98.5%,98.2%,98.8%,0.3%,0.3%,52.95,Q8978243.14,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing drugs,by doing drugs,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,0,Multiple Select
2023,All Responses,All Schools,cope_drugs,by doing drugs,No,16045,16290,98.5%,98.2%,98.8%,0.3%,0.3%,51,Q8978243.14,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing drugs,by doing drugs,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,1,NA
2023,All Responses,All Schools,cope_drugs,by doing drugs,Yes,245,16290,1.5%,1.2%,1.8%,0.3%,0.3%,52.95,Q8978243.14,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing drugs,by doing drugs,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by doing drugs,NA,0,Multiple Select
2023,All Responses,All Schools,cope_drugs,by doing drugs,Yes,245,16290,1.5%,1.2%,1.8%,0.3%,0.3%,51,Q8978243.14,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by doing drugs,by doing drugs,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by doing drugs,NA,1,NA
2023,All Responses,All Schools,cope_eat,by eating more,No,14145,16290,86.8%,86.0%,87.6%,0.8%,0.8%,52.96,Q8978243.15,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by eating more,by eating more,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,0,Multiple Select
