year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb
2022,All Responses,All Schools,mental_doctor,a doctor,Yes,1800,11150,16.1%,15.1%,17.2%,1.0%,1.1%
2022,All Responses,All Schools,mental_groupwork,Group work,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",No,1740,10910,15.9%,14.9%,17.1%,1.1%,1.1%
2022,All Responses,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Not sure,2265,10910,20.8%,19.6%,22.0%,1.2%,1.2%
2022,All Responses,All Schools,mental_howaccess,"know how to access services if they are worried about, or are looking for more information about their mental health",Yes,6905,10910,63.3%,61.9%,64.7%,1.4%,1.4%
2022,All Responses,All Schools,mental_internet,online,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,mental_none,other,No,8840,11155,79.2%,78.0%,80.4%,1.2%,1.2%
2022,All Responses,All Schools,mental_none,other,Yes,2315,11155,20.8%,19.6%,22.0%,1.2%,1.2%
2022,All Responses,All Schools,mental_nurse,a school nurse,No,10785,11155,96.7%,96.1%,97.2%,0.6%,0.5%
2022,All Responses,All Schools,mental_nurse,a school nurse,Yes,370,11155,3.3%,2.8%,3.9%,0.5%,0.6%
2022,All Responses,All Schools,mental_parents,parents/carers,No,4060,11150,36.4%,35.0%,37.8%,1.4%,1.4%
2022,All Responses,All Schools,mental_parents,parents/carers,Yes,7090,11150,63.6%,62.2%,65.0%,1.4%,1.4%
